Name,Area,Address,Phone,Rating,Review,Total Reviews,Type,Thumbnail,Images,Video,Opening Time,Pincode,Doc ID,Latitude,Longitude,Web URL,Verified,Scraped At
Mr Swati Hostel,Bhaikaka Road Vallabh Vidyanagar,Near Sardar Patel University Circle Opposite M B Patel B Ed College Ladies Hostel Nana Bazar Vallabh Vidyanagar,,3.7,,56,,https://content.jdmagicbox.com/comp/anand/s2/9999p2692.2692.170608175828.h8s2/catalogue/swati-hostel-vallabh-vidyanagar-anand-hostels-duwlbirunw-250.jpg?clr=#3f57f,"https://content.jdmagicbox.com/comp/anand/s2/9999p2692.2692.170608175828.h8s2/catalogue/swati-hostel-vallabh-vidyanagar-anand-hostels-duwlbirunw.jpg?clr=#3f57f
https://content.jdmagicbox.com/comp/anand/s2/9999p2692.2692.170608175828.h8s2/catalogue/swati-hostel-vallabh-vidyanagar-anand-hostels-1oqjw6aqdi.jpg
https://content.jdmagicbox.com/comp/anand/s2/9999p2692.2692.170608175828.h8s2/catalogue/swati-hostel-vallabh-vidyanagar-anand-hostels-nzj3utt29b.jpg
https://content.jdmagicbox.com/comp/anand/s2/9999p2692.2692.170608175828.h8s2/catalogue/swati-hostel-vallabh-vidyanagar-anand-hostels-10ozosvmgb.jpg
https://content.jdmagicbox.com/comp/anand/s2/9999p2692.2692.170608175828.h8s2/catalogue/swati-hostel-vallabh-vidyanagar-anand-hostels-ojel1ycvz5.jpg",,Open 24 Hrs,388120,9999P2692.2692.170608175828.H8S2,22.5562652,72.9262369,https://www.justdial.com/Anand/Mr-Swati-Hostel-Near-Sardar-Patel-University-Circle-Opposite-M-B-Patel-B-Ed-College-Ladies-Hostel-Nana-Bazar-Vallabh-Vidyanagar/9999P2692-2692-170608175828-H8S2_BZDET,No,2024-03-14T11:37:41.436Z
Siddhi Vinayak Girls Residency,road Vallabh Vidyanagar,Near University Circle Near Nana Bazaar Vallabh Vidyanagar,,4.1,,35,,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-4-250.jpg,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-4.jpg,,9:00 am - 7:00 pm,388120,9999P2692.2692.160123094859.S9M4,22.5562057,72.9268273,https://www.justdial.com/Anand/Siddhi-Vinayak-Girls-Residency-Near-University-Circle-Near-Nana-Bazaar-Vallabh-Vidyanagar/9999P2692-2692-160123094859-S9M4_BZDET,No,2024-03-14T11:37:41.436Z
Nijrang Girls Hostel,Dhobighat Crossing Motabazaar,Iskon Road Motabazaar,,3.7,,3,,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-1-250.jpg,https://content.jdmagicbox.com/comp/def_content/hostels_for_women/default-hostels-for-women-1.jpg,,,388120,9999P2692.2692.160702144704.B3W7,22.555878,72.928684,https://www.justdial.com/Anand/Nijrang-Girls-Hostel-Iskon-Road-Motabazaar/9999P2692-2692-160702144704-B3W7_BZDET,No,2024-03-14T11:37:41.436Z
Sai Charitra Girls Hostel,Iscon Road Vallabh Vidyanagar,Nearby Purohit Dining Hall Vallabh Vidyanagar,9054280059,4.4,"Sai Charitra Girls Hostel is an excellent rental stay option for anyone looking for a budget-friendly yet dependable accommodation. The hostel offers clean rooms with large windows, making it a comfortable stay. Its great location, close to hospitals and easy booking process with a refundable deposit are added advantages. Overall, highly recommended!",35,,https://content.jdmagicbox.com/comp/anand/f4/9999p2692.2692.230718145009.b6f4/catalogue/sai-charitra-girls-hostel-anand-xa5ey2ahfw-250.jpg?clr=#3b2b3b,"https://content.jdmagicbox.com/comp/anand/f4/9999p2692.2692.230718145009.b6f4/catalogue/sai-charitra-girls-hostel-anand-xa5ey2ahfw.jpg?clr=#3b2b3b
https://content.jdmagicbox.com/comp/anand/f4/9999p2692.2692.230718145009.b6f4/catalogue/sai-charitra-girls-hostel-anand-jqoaau1j91.jpg
https://content.jdmagicbox.com/comp/anand/f4/9999p2692.2692.230718145009.b6f4/catalogue/sai-charitra-girls-hostel-vallabh-vidyanagar-anand-hostels-tjk8u1zmmn.jpg
https://content.jdmagicbox.com/comp/anand/f4/9999p2692.2692.230718145009.b6f4/catalogue/sai-charitra-girls-hostel-anand-laawr7n3ar.jpg
https://content.jdmagicbox.com/comp/anand/f4/9999p2692.2692.230718145009.b6f4/catalogue/sai-charitra-girls-hostel-anand-zmf93u6eve.jpg",,Open 24 Hrs,388120,9999P2692.2692.230718145009.B6F4,22.55587771,72.92868369,https://www.justdial.com/Anand/Sai-Charitra-Girls-Hostel-Nearby-Purohit-Dining-Hall-Vallabh-Vidyanagar/9999P2692-2692-230718145009-B6F4_BZDET,Yes,2024-03-14T11:37:41.436Z
AD'S PG ACCOMMODATIONS,Nana Bajar Vallabh Vidyanagar,Nana Bazar Vallabh Vidyanagar,,3.7,"Had a good experience with the PG.
Affordabale and convenient as it is located near various colleges.",11,,https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-nw8a66hv52-250.jpg?clr=#442239,"https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-nw8a66hv52.jpg?clr=#442239
https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-idr68xvaq7.jpg
https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-n55osnsodd.jpg
https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-h03eq9qmmb.jpg
https://content.jdmagicbox.com/comp/anand/w6/9999p2692.2692.220606182115.e6w6/catalogue/ad-s-pg-accommodations-vallabh-vidyanagar-anand-hostels-eo3okau53j.jpg",,Open 24 Hrs,388120,9999P2692.2692.220606182115.E6W6,22.5555296,72.9294488,https://www.justdial.com/Anand/ADS-PG-ACCOMMODATIONS-Nana-Bazar-Vallabh-Vidyanagar/9999P2692-2692-220606182115-E6W6_BZDET,No,2024-03-14T11:37:41.436Z
Stanza Living,Russell House Vallabh Vidyanagar,Opposite Nest Prime Hostel Dhobi Ghat Chowkdi Vallabh Vidyanagar,,3.8,"The rooms at stanza living are too luxurious and also with the reasonable rate. the bedsheets, interior and other all facilities are too also quite are also upto mark.  hospitality is also at its best. politeness staff and great dealing with peace. ",67,,https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-ijsbsygnlv-250.jpg?clr=#2e3838,"https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-ijsbsygnlv.jpg?clr=#2e3838
https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-uttfligiqz.jpg
https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-5ql0b6iw7u.jpg
https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-yqht3fq1k8.jpg
https://content.jdmagicbox.com/comp/anand/k7/9999p2692.2692.201023233356.q7k7/catalogue/stanza-living-vallabh-vidyanagar-anand-hostel-for-girl-students-extz2nljia.jpg",,7:00 am - 8:00 pm,388120,9999P2692.2692.201023233356.Q7K7,22.5520496,72.9218767,https://www.justdial.com/Anand/Stanza-Living-Opposite-Nest-Prime-Hostel-Dhobi-Ghat-Chowkdi-Vallabh-Vidyanagar/9999P2692-2692-201023233356-Q7K7_BZDET,No,2024-03-14T11:37:41.436Z
Stanza Living Cumana House,Dhobi Ghat Vallabh Vidyanagar,Opposite Purohit Dining Hall Vallabh Vidyanagar,,4.1,,73,,https://content.jdmagicbox.com/comp/anand/y9/9999p2692.2692.220122204242.p2y9/catalogue/stanza-living-cumana-house-vallabh-vidyanagar-anand-hostels-h2im3zorjk-250.jpg?clr=#3d5214,"https://content.jdmagicbox.com/comp/anand/y9/9999p2692.2692.220122204242.p2y9/catalogue/stanza-living-cumana-house-vallabh-vidyanagar-anand-hostels-h2im3zorjk.jpg?clr=#3d5214
https://content.jdmagicbox.com/comp/anand/y9/9999p2692.2692.220122204242.p2y9/catalogue/stanza-living-cumana-house-vallabh-vidyanagar-anand-hostels-2gms9hrhhq.jpg
https://content.jdmagicbox.com/comp/anand/y9/9999p2692.2692.220122204242.p2y9/catalogue/stanza-living-cumana-house-vallabh-vidyanagar-anand-hostels-4v8h1rs14e.jpg
https://content.jdmagicbox.com/comp/anand/y9/9999p2692.2692.220122204242.p2y9/catalogue/stanza-living-cumana-house-vallabh-vidyanagar-anand-hostels-4nyd0aqsfj.jpg
https://content.jdmagicbox.com/comp/anand/y9/9999p2692.2692.220122204242.p2y9/catalogue/stanza-living-cumana-house-vallabh-vidyanagar-anand-hostels-tppd5pu18g.jpg",,Open 24 Hrs,388120,9999P2692.2692.220122204242.P2Y9,22.551452,72.920481,https://www.justdial.com/Anand/Stanza-Living-Cumana-House-Opposite-Purohit-Dining-Hall-Vallabh-Vidyanagar/9999P2692-2692-220122204242-P2Y9_BZDET,No,2024-03-14T11:37:41.436Z
Urja Girls Hostel,V V Nagar Anand Ho, Anand Ho,,3.6,,75,,https://content.jdmagicbox.com/comp/anand/s3/9999p2692.2692.131226121555.c5s3/catalogue/urja-girls-hostel-anand-ho-anand-hostels-for-women-kt23l6h1k3-250.jpg?clr=#2e2e38,"https://content.jdmagicbox.com/comp/anand/s3/9999p2692.2692.131226121555.c5s3/catalogue/urja-girls-hostel-anand-ho-anand-hostels-for-women-kt23l6h1k3.jpg?clr=#2e2e38
https://content.jdmagicbox.com/comp/anand/s3/9999p2692.2692.131226121555.c5s3/catalogue/urja-girls-hostel-anand-ho-anand-hostels-for-women-si7l1pp5ue.jpg
https://content.jdmagicbox.com/comp/anand/s3/9999p2692.2692.131226121555.c5s3/catalogue/urja-girls-hostel-anand-ho-anand-hostels-for-women-xczl8s1qmj.jpg
https://content.jdmagicbox.com/comp/anand/s3/9999p2692.2692.131226121555.c5s3/catalogue/urja-girls-hostel-anand-ho-anand-hostels-for-women-7d0lg2ajok.jpg
https://content.jdmagicbox.com/comp/anand/s3/9999p2692.2692.131226121555.c5s3/catalogue/urja-girls-hostel-anand-ho-anand-hostels-for-women-mzila326nm.jpg",,9:30 am - 9:30 pm,388001,9999P2692.2692.131226121555.C5S3,22.554862,72.928835,https://www.justdial.com/Anand/Urja-Girls-Hostel-Anand-Ho/9999P2692-2692-131226121555-C5S3_BZDET,No,2024-03-14T11:37:41.436Z
R S Girls Hostel,Road Vallabh Vidyanagar,Nana Bazaar Vallabh Vidyanagar,,4.3,,174,,https://content.jdmagicbox.com/comp/anand/d4/9999p2692.2692.190723060236.g4d4/catalogue/r-s-girls-hostel-vallabh-vidyanagar-anand-hostels-s967hmu882-250.jpg,"https://content.jdmagicbox.com/comp/anand/d4/9999p2692.2692.190723060236.g4d4/catalogue/r-s-girls-hostel-vallabh-vidyanagar-anand-hostels-s967hmu882.jpg
https://content.jdmagicbox.com/comp/anand/d4/9999p2692.2692.190723060236.g4d4/catalogue/r-s-girls-hostel-vallabh-vidyanagar-anand-hostels-m1w7aayagw.jpg
https://content.jdmagicbox.com/comp/anand/d4/9999p2692.2692.190723060236.g4d4/catalogue/r-s-girls-hostel-vallabh-vidyanagar-anand-hostels-cmqswe9lnj.jpg",,6:00 am - 10:00 pm,388120,9999P2692.2692.190723060236.G4D4,22.5548412,72.9300745,https://www.justdial.com/Anand/R-S-Girls-Hostel-Nana-Bazaar-Vallabh-Vidyanagar/9999P2692-2692-190723060236-G4D4_BZDET,No,2024-03-14T11:37:41.436Z
Omshiv Girls hostel,Mota Bazaar Vallabh Vidyanagar, Vallabh Vidyanagar,,3.6,,63,,https://content.jdmagicbox.com/comp/anand/g4/9999p2692.2692.220308223305.l2g4/catalogue/omshiv-girls-hostel-vallabh-vidyanagar-anand-hostels-h2d3e9u923-250.jpg?clr=#471f29,"https://content.jdmagicbox.com/comp/anand/g4/9999p2692.2692.220308223305.l2g4/catalogue/omshiv-girls-hostel-vallabh-vidyanagar-anand-hostels-h2d3e9u923.jpg?clr=#471f29
https://content.jdmagicbox.com/comp/anand/g4/9999p2692.2692.220308223305.l2g4/catalogue/omshiv-girls-hostel-vallabh-vidyanagar-anand-hostels-6252gfv28m.jpg
https://content.jdmagicbox.com/comp/anand/g4/9999p2692.2692.220308223305.l2g4/catalogue/omshiv-girls-hostel-vallabh-vidyanagar-anand-hostels-lxdgbw1al3.jpg
https://content.jdmagicbox.com/comp/anand/g4/9999p2692.2692.220308223305.l2g4/catalogue/omshiv-girls-hostel-vallabh-vidyanagar-anand-hostels-q0pnqazfre.jpg
https://content.jdmagicbox.com/comp/anand/g4/9999p2692.2692.220308223305.l2g4/catalogue/omshiv-girls-hostel-vallabh-vidyanagar-anand-hostels-9vz2yz9cwj.jpg",,6:00 am - 9:00 pm,388120,9999P2692.2692.220308223305.L2G4,22.5492573,72.9220062,https://www.justdial.com/Anand/Omshiv-Girls-hostel-Vallabh-Vidyanagar/9999P2692-2692-220308223305-L2G4_BZDET,No,2024-03-14T11:37:41.436Z
,,,,,,,,,,,,,,,,,,
