Name,Area,Address,Phone,Rating,Review,Total Reviews,Type,Thumbnail,Images,Video,Opening Time,Pincode,Doc ID,Latitude,Longitude,Web URL,Verified,Scraped At
Safe Pg Services,College Road Vaniya Vad,Near Vaniyavad Circle Vaniya Vad,8488091947,4.5,,8,"Paying Guest Accommodations, Paying Guest Accommodations For Men",https://images.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/-sh1bcd88u5-250.jpg,"https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/-sh1bcd88u5.jpg
https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/safe-pg-services-nadiad-paying-guest-accommodations-rz3vft62ai.jpg
https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/safe-pg-services-nadiad-paying-guest-accommodations-sn3jv0fabv.jpg
https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/safe-pg-services-nadiad-paying-guest-accommodations-51kqd5o47m.jpg
https://content.jdmagicbox.com/comp/nadiad/m8/9999px268.x268.220703154015.v8m8/catalogue/safe-pg-services-nadiad-paying-guest-accommodations-9vv7uoytx8.jpg",,9:00 am - 9:00 pm,387001,9999PX268.X268.220703154015.V8M8,22.72388947,72.85062469,https://www.justdial.com/Nadiad/Safe-Pg-Services-Near-Vaniyavad-Circle-Vaniya-Vad/9999PX268-X268-220703154015-V8M8_BZDET,Yes,2024-03-15T23:00:19.295Z
Vinayak PG,College Road Nadiad City,Near DDIT Nadiad City,7942697667,3.6,,47,"Paying Guest Accommodations, Paying Guest Accommodations For Men",https://images.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-college-road-nadiad-paying-guest-accommodation-for-men-q2cf1h3-250.jpg,"https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-college-road-nadiad-paying-guest-accommodation-for-men-q2cf1h3.jpg
https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-nadiad-city-nadiad-paying-guest-accommodations-for-men-u6u3la12nz.jpg
https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-nadiad-city-nadiad-paying-guest-accommodations-for-men-pybxuo18ft.jpg
https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-nadiad-city-nadiad-paying-guest-accommodations-for-men-fhux6o08fa.jpg
https://content.jdmagicbox.com/comp/nadiad/w5/9999px268.x268.170711003033.n5w5/catalogue/vinayak-pg-accommodation-nadiad-city-nadiad-paying-guest-accommodations-for-men-iwipipthbv.jpg",,Open 24 Hrs,387001,9999PX268.X268.170711003033.N5W5,22.6774573,72.8824301,https://www.justdial.com/Nadiad/Vinayak-PG-Accommodation-Near-DDIT-Nadiad-City/9999PX268-X268-170711003033-N5W5_BZDET,No,2024-03-15T23:00:19.295Z
Maximum Pg,College Road Nadiad Ho,Opposite Nexus 4 Nadiad Ho,7942697924,4.3,,22,"Estate Agents, Paying Guest Accommodations",https://images.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-pe5566t6sl-250.jpg?clr=#4c1a1a,"https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-pe5566t6sl.jpg?clr=#4c1a1a
https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-cvupgp6u13.jpg
https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-uuhq2m6a0w.jpg
https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-ltxx8f1pis.jpg
https://content.jdmagicbox.com/comp/nadiad/a5/9999px268.x268.210228120252.m7a5/catalogue/-kn96wn6jac.jpg",,Open 24 Hrs,387001,9999PX268.X268.210228120252.M7A5,22.69642535,72.86140085,https://www.justdial.com/Nadiad/Maximum-Pg-Accommodation-Opposite-Nexus-4-Nadiad-Ho/9999PX268-X268-210228120252-M7A5_BZDET,No,2024-03-15T23:00:19.295Z
Krishna Township,College Road Vaniya Vad,Vaniya Vad Vaniya Vad,7942697753,3.9,,21,"Paying Guest Accommodations, Paying Guest Accommodations For Family",https://images.jdmagicbox.com/comp/nadiad/q8/9999px268.x268.230111204719.l4q8/catalogue/krishna-township-vaniyavad-nadiad-paying-guest-accommodations-for-family-kuss1m9uw8-250.jpg?clr=#423824,"https://content.jdmagicbox.com/comp/nadiad/q8/9999px268.x268.230111204719.l4q8/catalogue/krishna-township-vaniyavad-nadiad-paying-guest-accommodations-for-family-kuss1m9uw8.jpg?clr=#423824
https://content.jdmagicbox.com/comp/nadiad/q8/9999px268.x268.230111204719.l4q8/catalogue/krishna-township-vaniyavad-nadiad-paying-guest-accommodations-for-family-he2d85mza1.jpg
https://content.jdmagicbox.com/comp/nadiad/q8/9999px268.x268.230111204719.l4q8/catalogue/krishna-township-vaniyavad-nadiad-paying-guest-accommodations-for-family-uo1r9u75k0.jpg
https://content.jdmagicbox.com/comp/nadiad/q8/9999px268.x268.230111204719.l4q8/catalogue/krishna-township-vaniyavad-nadiad-paying-guest-accommodations-for-family-5ctf4r3jlr.jpg
https://content.jdmagicbox.com/comp/nadiad/q8/9999px268.x268.230111204719.l4q8/catalogue/krishna-township-vaniyavad-nadiad-paying-guest-accommodations-for-family-m7zz49y759.jpg",,7:00 am - 9:00 pm,387001,9999PX268.X268.230111204719.L4Q8,22.684443,72.8789508,https://www.justdial.com/Nadiad/Krishna-Township-Vaniyavad-Vaniya-Vad-Vaniya-Vad/9999PX268-X268-230111204719-L4Q8_BZDET,No,2024-03-15T23:00:19.295Z
